unit_id;unit_name;route_id;route_desc;weekday_peak_headway;weekday_offpeak_headway;weekday_night_headway;saturday_day_headway;saturday_night_headway;sunday_day_headway;sunday_night_headway
27;Te Atatu;271;Te Atatu Peninsula to Henderson via Edmonton Rd;30;60;60;60;60;60;60
27;Te Atatu;272;Te Atatu Peninsula to City via Northwestern Motorway;10;;;;;;
27;Te Atatu;273;Glendene roundabout to City via Te Atatu Rd and Northwestern Motorway;15;;;;;;
27;Te Atatu;274;Henderson to City via Edmonton Road and Northwestern Motorway;15;;;;;;
28;Ranui;280;Henderson West Circuit. Via Henderson Valley Rd, Summerland Dr, Simpson Rd and Sturges Rd;20;30;60;30;60;30;60
28;Ranui;281;Ranui to Henderson via Birdwood Rd loop, Universal Drive and Triangle Rd Interchange;20;30;60;30;60;30;60
28;Ranui;282;Waitakere to Henderson via Swanson Station and Rathgar Rd;30;60;60;60;60;60;60
28;Ranui;283;Ranui to City via Universal Drive and Northwestern Motorway;15;;;;;;
29;Hobsonville;290;Westgate to Hobsonville Ferry Terminal via West Harbour and Hobsonville;15;30;60;30;60;30;60
29;Hobsonville;291;Westgate to Hobsonville Ferry Terminal via Whenuapai and Herald Island;30;60;60;60;60;60;60
29;Hobsonville;292;Royal Heights loop. Royal Heights to Westgate;30;60;60;60;60;60;60
29;Hobsonville;293;Westgate to Triangle Rd via Don Buck Dr and Universal Dr;10;;;;;;
30;Hobsonville;300;Northwestern Motorway. Westgate to Britomart via Triangle Rd interchange, Te Atatu motorway interchange and Great North Rd;7.5;15;15;15;15;15;15
30;Hobsonville;301;Huapai to Westgate;30;60;60;60;60;60;60
30;Hobsonville;302;Helensville to Westgate;30;60;60;60;60;60;60
33;Upper Harbour Crosstown;330;Henderson to Constellation Station via Don Buck Rd, Hobsonville Rd and Greenhithe;20;30;60;30;60;30;60
33;Upper Harbour Crosstown;331;Greenhithe to Constellation and City;20;;;;;;
34;North Harbour;340;Birkenhead Wharf to Albany via Highbury, Glenfield, Constellation and Massey University;30;30;30;30;30;30;30
34;North Harbour;341;Constellation Station to Albany via Massey University;15;;;;;;
34;North Harbour;342;Constellation Station to Takapuna via Unsworth;30;30;30;30;30;30;30
34;North Harbour;343;Constellation Station to Albany via Snapper Rock and Albany Highway;15;30;30;30;60;30;60
34;North Harbour;344;Constellation Station to Albany via Rosedale Road;15;30;60;60;60;60;60
34;North Harbour;345;Constellation Station to City (continuation of full buses from Snapper Rock or Rosedale);15;;;;;;
35;Bayview;350;Bayview to City via Highbury;15;30;30;30;60;30;60
35;Bayview;351;Windy Ridge to City via Highbury;15;;;;;;
36;Bayview;360;Beach Haven to Takapuna via Windy Ridge and Glenfield;30;30;60;30;60;30;60
37;Akoranga West;370;Smales Farm, Glenfield, Coronation, Sunnybrae, Akoranga, Takapuna;30;30;60;30;60;30;60
37;Akoranga West;371;Akoranga to Constellation via Northcote, Hillcrest, Link Drive;30;30;60;30;60;30;60
37;Akoranga West;372;Hillcrest to circuit to city;30;30;60;30;60;30;60
37;Akoranga West;373;Sylvan Avenue to city;15;;;;;;
37;Akoranga West;374;Beach Haven to Takapuna via Highbury, Northcote and Akoranga;30;30;60;30;60;30;60
38;Birkenhead to Takapuna;380;Highbury to North Shore Hospital via Northcote and Smales Station;30;60;60;60;60;60;60
39;Birkenhead to City;390;Birkdale Rd to the City;15;30;60;30;60;30;60
39;Birkenhead to City;391;Rangatira Rd to the City;15;30;60;30;60;30;60
39;Birkenhead to City;392;Chatswood to Highbury;30;60;60;;;;
