stop_code,stop_lat,zone_id,stop_lon,stop_id,parent_station,stop_desc,stop_name,location_type
31510,-36.90503,merged_28,174.84084,stop_1711,,,/133 and 144 Mt Wellington Hwy,1
31511,-36.907920000000004,merged_29,174.83901,stop_1712,,,Mt Wellington Hwy/Mt Wellington Shopping Centre,1
31512,-36.91202,merged_28,174.83805,stop_1713,,,Mt Wellington Hwy/Hamlin Rd,1
31513,-36.91367,merged_28,174.8385,stop_1714,,,Mt Wellington Hwy/Longford St,1
31514,-36.915690000000005,merged_29,174.84009,stop_1715,,,/Sylvia Park,1
31516,-36.925059999999995,merged_28,174.85232,stop_1716,,,Carbine Rd/Panama Rd,1
31517,-36.92638,merged_28,174.85026000000002,stop_1717,,,Panama Rd/McLennan Rd,1
31518,-36.92559,merged_29,174.85641,stop_1718,,,Jolson Rd/Bernard St,1
31519,-36.92565,merged_29,174.85997,stop_1719,,,Jolson Rd/Panama Rd,1
31520,-36.92837,merged_28,174.85781,stop_1720,,,Panama Rd/Kealy Rd,1
31521,-36.92879,merged_28,174.85193999999998,stop_1721,,,Panama Rd/Mataroa Rd,1
31522,-36.92846,merged_29,174.85346,stop_1722,,,Panama Rd/Bernard St,1
31527,-36.921620000000004,merged_28,174.85026000000002,stop_1723,,,Carbine Rd/Gabador Place,1
31528,-36.91687,merged_29,174.84696,stop_1724,,,Carbine Rd/Arthur Brown Place,1
31529,-36.911609999999996,merged_28,174.84548999999998,stop_1725,,,Carbine Rd/Allright Place,1
31531,-36.89585,merged_29,174.85495,stop_1726,,,Pilkington Rd/Stewart Ave,1
31533,-36.89503,merged_29,174.85623999999999,stop_1727,,,Court Crescent/Pilkington Rd,1
31534,-36.893409999999996,merged_28,174.85911000000002,stop_1728,,,Court Crescent/Hobson Drive,1
31535,-36.89135,merged_29,174.85918,stop_1729,,,Court Crescent/Oran Rd,1
31536,-36.89,merged_28,174.85748,stop_1730,,,Court Crescent/Pilkington Rd,1
31537,-36.88831,merged_29,174.85731,stop_1731,,,Pilkington Rd/Torino St,1
31538,-36.886359999999996,merged_28,174.85786000000002,stop_1732,,,Pilkington Rd/Tripoli Rd roundabout,1
31539,-36.88386,merged_29,174.85853999999998,stop_1733,,,Pilkington Rd/Anderson Ave,1
31540,-36.88272,merged_29,174.8589,stop_1734,,,Pilkington Rd/Salima Talagi St,1
31541,-36.88134,merged_28,174.85702,stop_1735,,,Pt England Rd/Talbot Reserve,1
31542,-36.88175,merged_29,174.85953999999998,stop_1736,,,Pt England Rd/Pilkington Rd,1
31544,-36.88231,merged_29,174.86279,stop_1737,,,Pt England Rd/Waddell Ave,1
31545,-36.88346,merged_28,174.86504,stop_1738,,,Erima Ave/Pt England roundabout,1
31546,-36.88261,merged_29,174.8645,stop_1739,,,Pt England Rd/Erima Ave,1
31547,-36.88559,merged_29,174.86446,stop_1740,,,Erima Ave/Anderson Ave,1
31548,-36.88904,merged_29,174.86458000000002,stop_1741,,,Tripoli Rd/Torino St,1
31549,-36.89221,merged_29,174.86351000000002,stop_1742,,,Tripoli Rd/Oran Rd,1
31550,-36.8942,merged_28,174.86319,stop_1743,,,Tripoli Rd/Tamaki Primary School,1
31551,-36.89662,merged_29,174.86146000000002,stop_1744,,,Tripoli Rd/Larsen Rd,1
31552,-36.897259999999996,merged_29,174.86081000000001,stop_1745,,,Tripoli Rd/Johnston Reserve,1
31553,-36.89933,merged_28,174.85896,stop_1746,,,Tripoli Rd/Caen Rd,1
31559,-36.904109999999996,merged_28,174.85631999999998,stop_1747,,,Church Crescent/Sunset View Rd,1
31560,-36.910579999999996,merged_28,174.8613,stop_1748,,,Pakuranga Rd/Kerswill Place,1
31561,-36.91178,merged_29,174.87176000000002,stop_1749,,,Brampton Court/Pakuranga Town Centre,1
31562,-36.91277,merged_29,174.87256000000002,stop_1750,,,Aylesbury St and Pennell,1
